iter	Passed	Remaining
477	663	724
478	664	723
479	666	721
480	667	719
481	668	718
482	669	716
483	671	715
484	672	713
485	673	712
486	674	710
487	675	709
488	677	707
489	679	706
490	680	705
491	681	704
492	683	702
493	684	700
494	685	699
495	686	697
496	687	696
497	688	694
498	690	692
499	691	691
500	692	689
501	693	688
502	694	686
503	696	685
504	697	683
505	698	681
506	699	680
507	700	678
508	701	677
509	702	675
510	704	673
511	705	672
512	706	671
513	708	669
514	709	668
515	710	666
516	712	665
517	713	663
518	714	662
519	716	660
520	717	659
521	718	658
522	719	656
523	720	654
524	722	653
525	723	652
526	725	650
527	726	649
528	727	647
529	728	645
530	729	644
531	730	642
532	731	641
533	732	639
534	733	637
535	735	636
536	736	634
537	737	633
538	738	631
539	739	629
540	740	628
541	742	627
542	743	625
543	744	623
544	745	622
545	746	620
546	747	619
547	748	617
548	749	616
549	751	614
550	752	613
551	753	611
552	754	610
553	755	608
554	756	606
555	758	605
556	759	603
557	760	602
558	761	600
559	762	599
560	763	597
561	764	595
562	765	594
563	766	592
564	768	591
565	769	589
566	770	588
567	771	586
568	772	585
569	773	583
570	774	582
571	776	580
572	777	579
573	778	577
574	779	576
575	780	574
576	781	572
577	782	571
578	784	570
579	785	568
580	786	567
581	787	565
582	788	564
583	789	562
584	791	561
585	792	559
586	793	557
587	794	556
588	795	555
589	796	553
590	798	552
591	799	550
592	800	549
593	801	547
594	802	546
595	803	544
596	804	543
597	805	541
598	806	540
599	807	538
600	809	537
601	810	535
602	811	534
603	812	532
604	814	531
605	815	530
606	816	528
607	817	526
608	818	525
609	819	523
610	820	522
611	821	520
612	822	519
613	824	518
614	825	516
615	826	515
616	827	513
617	828	512
618	829	510
619	830	509
620	832	507
621	833	506
622	834	505
623	835	503
624	836	502
625	837	500
626	839	499
627	840	497
628	841	496
629	842	494
630	843	493
631	844	491
632	846	490
633	847	489
634	848	487
635	849	486
636	850	484
637	851	483
638	852	481
639	853	480
640	854	478
641	855	477
642	857	475
643	858	474
644	859	473
645	860	471
646	861	470
647	862	468
648	863	467
649	864	465
650	865	464
651	866	462
652	868	461
653	869	459
654	870	458
655	871	457
656	872	455
657	874	454
658	875	452
659	876	451
660	877	450
661	878	448
662	879	447
663	881	445
664	882	444
665	883	442
666	884	441
667	885	440
668	887	439
669	888	437
670	889	436
671	890	434
672	891	433
673	892	431
674	894	430
675	895	429
676	896	427
677	897	426
678	898	424
679	899	423
680	900	421
681	901	420
682	903	419
683	904	417
684	905	416
685	906	415
686	907	413
687	908	412
688	910	410
689	911	409
690	912	408
691	913	406
692	914	405
693	916	403
694	917	402
695	918	401
696	919	399
697	920	398
698	921	396
699	923	395
700	924	394
701	925	392
702	926	391
703	927	389
704	929	388
705	930	387
706	932	386
707	933	384
708	934	383
709	935	382
710	936	380
711	937	379
712	938	377
713	939	376
714	941	375
715	942	373
716	943	372
717	944	370
718	945	369
719	947	368
720	948	366
721	949	365
722	950	364
723	951	362
724	952	361
725	953	359
726	954	358
727	955	357
728	956	355
729	957	354
730	958	352
731	959	351
732	961	350
733	962	348
734	963	347
735	965	346
736	966	344
737	967	343
738	968	342
739	969	340
740	970	339
741	971	337
742	973	336
743	974	335
744	975	333
745	976	332
746	977	331
747	979	329
748	980	328
749	981	327
750	982	325
751	984	324
752	985	323
753	986	321
754	987	320
755	988	318
756	989	317
757	990	316
758	992	315
759	993	313
760	994	312
761	995	310
762	996	309
763	998	308
764	999	306
765	1000	305
766	1001	304
767	1003	303
768	1004	301
769	1005	300
770	1006	299
771	1008	297
772	1009	296
773	1010	295
774	1011	293
775	1012	292
776	1013	290
777	1014	289
778	1016	288
779	1017	286
780	1018	285
781	1019	284
782	1021	283
783	1022	281
784	1023	280
785	1024	279
786	1026	277
787	1027	276
788	1028	275
789	1029	273
790	1030	272
791	1031	270
792	1032	269
793	1033	268
794	1034	266
795	1036	265
796	1037	264
797	1038	262
798	1039	261
799	1040	260
800	1041	258
801	1042	257
802	1044	256
803	1045	254
804	1046	253
805	1047	252
806	1048	250
807	1050	249
808	1051	248
809	1052	246
810	1054	245
811	1055	244
812	1056	243
813	1059	242
814	1060	240
815	1061	239
816	1062	238
817	1064	236
818	1065	235
819	1066	234
820	1067	232
821	1068	231
822	1070	230
823	1071	228
824	1072	227
825	1073	226
826	1075	224
827	1076	223
828	1077	222
829	1079	221
830	1080	219
831	1081	218
832	1082	217
833	1084	215
834	1085	214
835	1086	213
836	1088	211
837	1089	210
838	1090	209
839	1092	208
840	1093	206
841	1094	205
842	1095	204
843	1096	202
844	1098	201
845	1099	200
846	1100	198
847	1102	197
848	1103	196
849	1105	195
850	1106	193
851	1107	192
852	1108	191
853	1109	189
854	1111	188
855	1112	187
856	1113	185
857	1114	184
858	1116	183
859	1117	181
860	1118	180
861	1120	179
862	1121	178
863	1123	176
864	1124	175
865	1125	174
866	1127	172
867	1128	171
868	1129	170
869	1130	168
870	1132	167
871	1133	166
872	1134	165
873	1135	163
874	1137	162
875	1138	161
876	1139	159
877	1140	158
878	1141	157
879	1142	155
880	1144	154
881	1145	153
882	1146	151
883	1147	150
884	1149	149
885	1150	148
886	1151	146
887	1152	145
888	1153	144
889	1155	142
890	1156	141
891	1157	140
892	1158	138
893	1159	137
894	1161	136
895	1162	134
896	1163	133
897	1164	132
898	1165	130
899	1167	129
900	1168	128
901	1169	127
902	1170	125
903	1172	124
904	1173	123
905	1174	121
906	1175	120
907	1176	119
908	1178	117
909	1179	116
910	1180	115
911	1182	114
912	1183	112
913	1184	111
914	1185	110
915	1187	108
916	1188	107
917	1189	106
918	1190	104
919	1192	103
920	1193	102
921	1195	101
922	1196	99
923	1197	98
924	1198	97
925	1199	95
926	1201	94
927	1202	93
928	1203	91
929	1204	90
930	1206	89
931	1207	88
932	1208	86
933	1210	85
934	1211	84
935	1212	82
936	1213	81
937	1215	80
938	1216	79
939	1217	77
940	1218	76
941	1220	75
942	1221	73
943	1222	72
944	1224	71
945	1225	69
946	1226	68
947	1227	67
948	1229	66
949	1230	64
950	1231	63
951	1232	62
952	1234	60
953	1235	59
954	1236	58
955	1238	56
956	1239	55
957	1240	54
958	1241	53
959	1243	51
960	1244	50
961	1246	49
962	1247	47
963	1248	46
964	1249	45
965	1251	44
966	1252	42
967	1253	41
968	1255	40
969	1256	38
970	1257	37
971	1259	36
972	1260	34
973	1261	33
974	1262	32
975	1264	31
976	1265	29
977	1267	28
978	1268	27
979	1269	25
980	1271	24
981	1272	23
982	1273	22
983	1274	20
984	1276	19
985	1277	18
986	1278	16
987	1279	15
988	1280	14
989	1282	12
990	1283	11
991	1285	10
992	1286	9
993	1287	7
994	1288	6
995	1289	5
996	1291	3
997	1292	2
998	1293	1
999	1294	0
